MODEL_NAME,TASK,BATCH_SIZE,IMAGE_SIZE,CORES,INSTANCES,OLS,MOS,EXTRA,SET_SIZE,PRECISION,OBJECTIVE,THPS,LATENCY,FLOPS
shufflenet_v2_x1_0,image-classification,1,224,7,2,1,4, -aic-enable-depth-first,1,fp16,best-latency,2465.12,0.8107492,0.752890995
shufflenet_v2_x1_5,image-classification,1,224,6,2,1,4, ,1,fp16,best-latency,1995.301,1.008284,1.224434305
shufflenet_v2_x2_0,image-classification,1,224,14,1,1,, -multicast-weights,1,fp16,best-latency,860.823,1.2017374,1.029939309
squeezenet1_0,image-classification,1,224,12,1,1,2, ,1,fp16,best-latency,2473.599,0.4053434,4.052223048
squeezenet1_1,image-classification,1,224,14,1,1,2, ,1,fp16,best-latency,2492.93,0.4023992,1.741670268
vgg11,image-classification,1,224,14,1,1,4, -multicast-weights,1,fp16,best-latency,357.371,2.81904785,5.438572102
vgg11_bn,image-classification,1,224,14,1,1,, ,1,fp16,best-latency,364.744,2.76638235,5.572445335
vgg13,image-classification,1,224,12,1,1,4, ,1,fp16,best-latency,346.008,2.935897,7.825674252
vgg13_bn,image-classification,1,224,14,1,2,14, ,1,fp16,best-latency,343.818,2.9381838,7.809817706
vgg16,image-classification,1,224,12,1,1,12, -multicast-weights -use-producer-dma=1,1,fp16,best-latency,315.441,3.2068517,9.75994295
vgg16_bn,image-classification,1,224,2,7,4,2, ,1,fp16,best-latency,429.717,2.9391182,13.34228707
vgg19,image-classification,1,224,12,1,1,, -multicast-weights -use-producer-dma=1,1,fp16,best-latency,290.554,3.38540575,11.40837771
vgg19_bn,image-classification,1,224,14,1,1,, ,1,fp16,best-latency,298.099,3.33564635,11.74004545
vit_b_16,image-classification,1,224,4,3,1,, -aic-enable-depth-first,1,fp16,best-latency,346.939,0.4419055,7.831283764
vit_b_32,image-classification,1,224,1,14,2,1, -multicast-weights -use-producer-dma=1,1,fp16,best-latency,707.21,1.4088486,4.174474922
wide_resnet101_2,image-classification,1,224,4,3,1,4, -aic-enable-depth-first,1,fp16,best-latency,283.618,0.59028365,12.95456459
wide_resnet50_2,image-classification,1,224,3,4,2,, -aic-enable-depth-first,1,fp16,best-latency,643.48,0.7224512,14.74306058
