MODEL_NAME,TASK,BATCH_SIZE,IMAGE_SIZE,CORES,INSTANCES,OLS,MOS,EXTRA,SET_SIZE,PRECISION,OBJECTIVE,THPS,LATENCY
mnasnet1_3,image-classification,1,224,14,1,1,, -multicast-weights -use-producer-dma=1,1,fp16,best-latency,1357.8,0.8
mobilenet_v2,image-classification,1,224,14,1,1,14, ,1,fp16,best-latency,1623.2,0.6
mobilenet_v3_large,image-classification,1,224,7,2,1,4, -multicast-weights -use-producer-dma=1,1,fp16,best-latency,2477.4,0.9
mobilenet_v3_small,image-classification,1,224,7,2,1,1, ,1,fp16,best-latency,2827.8,0.8
resnet101,image-classification,1,224,12,1,1,12, -multicast-weights -use-producer-dma=1,1,fp16,best-latency,606.5,1.6
resnet152,image-classification,1,224,12,1,1,12, -multicast-weights -use-producer-dma=1,1,fp16,best-latency,450.3,2.2
resnet18,image-classification,1,224,12,1,1,, ,1,fp16,best-latency,1890,0.6
resnet34,image-classification,1,224,14,1,1,, ,1,fp16,best-latency,1379.5,0.8
resnet50,image-classification,1,224,12,1,1,12, -multicast-weights -use-producer-dma=1,1,fp16,best-latency,1075,1
resnext101_32x8d,image-classification,1,224,12,1,1,, -multicast-weights,1,fp16,best-latency,444.2,2.2
resnext101_64x4d,image-classification,1,224,12,1,2,, -multicast-weights,1,fp16,best-latency,404.4,2.4
resnext50_32x4d,image-classification,1,224,12,1,1,12, -multicast-weights,1,fp16,best-latency,1179.9,0.9
shufflenet_v2_x0_5,image-classification,1,224,3,4,1,1, -multicast-weights,1,fp16,best-latency,5791.9,0.8
shufflenet_v2_x1_0,image-classification,1,224,7,2,1,7, -multicast-weights,1,fp16,best-latency,2153.7,1
shufflenet_v2_x1_5,image-classification,1,224,4,3,1,4, -multicast-weights -use-producer-dma=1,1,fp16,best-latency,2934.4,1.1
shufflenet_v2_x2_0,image-classification,1,224,12,1,1,12, ,1,fp16,best-latency,810.8,1.2
squeezenet1_0,image-classification,1,224,12,1,1,, ,1,fp16,best-latency,1792,0.6
squeezenet1_1,image-classification,1,224,14,1,1,2, ,1,fp16,best-latency,1873.8,0.6
vgg11,image-classification,1,224,14,1,1,4, -multicast-weights,1,fp16,best-latency,341.4,3
vgg11_bn,image-classification,1,224,14,1,1,, ,1,fp16,best-latency,346.4,2.9
vgg13,image-classification,1,224,12,1,1,4, ,1,fp16,best-latency,333.5,3
vgg13_bn,image-classification,1,224,14,1,1,, -multicast-weights,1,fp16,best-latency,324,3.1
vgg16,image-classification,1,224,12,1,1,12, -multicast-weights -use-producer-dma=1,1,fp16,best-latency,297.2,3.4
vgg16_bn,image-classification,1,224,14,1,1,1, ,1,fp16,best-latency,294.1,3.3
vgg19,image-classification,1,224,12,1,1,, -multicast-weights -use-producer-dma=1,1,fp16,best-latency,285,3.6
vgg19_bn,image-classification,1,224,12,1,1,, -multicast-weights,1,fp16,best-latency,286.4,3.5
vit_b_16,image-classification,1,224,12,1,1,12, ,1,fp16,best-latency,355.1,2.9
vit_b_32,image-classification,1,224,14,1,1,14, ,1,fp16,best-latency,509.1,2
wide_resnet101_2,image-classification,1,224,12,1,1,12, ,1,fp16,best-latency,356,2.9
wide_resnet50_2,image-classification,1,224,12,1,1,, -multicast-weights -use-producer-dma=1,1,fp16,best-latency,532.9,1.9
